article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
108775044,108775,Strap top,253,Vest top,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Jersey top with narrow shoulder straps.
176754003,176754,2 Row Braided Headband (1),74,Hair/alice band,Accessories,1010016,Solid,17,Yellowish Brown,4,Dark,13,Brown,4343,Hair Accessories,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Two-strand hairband with braids in imitation suede and elastic at the back.
189634031,189634,Long Leg Leggings,273,Leggings/Tights,Garment Lower body,1010016,Solid,93,Dark Green,4,Dark,19,Green,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Leggings in stretch jersey with an elasticated waist.
194270044,194270,HELENA 2-pack tanktop,253,Vest top,Garment Upper body,1010016,Solid,51,Light Pink,3,Light,4,Pink,7930,Young Girl Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,Tops in soft organic cotton jersey.
203027047,203027,Linni tee (1),255,T-shirt,Garment Upper body,1010017,Stripe,10,White,3,Light,9,White,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Short-sleeved top in jersey with sewn-in turn-ups on the sleeves.
212042070,212042,Mimmi sneaker,94,Sneakers,Shoes,1010016,Solid,10,White,3,Light,9,White,3929,Divided Shoes,D,Divided,2,Divided,52,Divided Accessories,1020,Shoes,Cotton trainers with closed lacing and a loop at the back. Fabric linings and insoles and rubber soles.
215303001,215303,Coolio sunglasses,81,Sunglasses,Accessories,1010016,Solid,17,Yellowish Brown,4,Dark,13,Brown,8888,Sunglasses,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,"Sunglasses with plastic frames and UV-protective, tinted lenses."
216081011,216081,Norling Knit,245,Cardigan,Garment Upper body,1010010,Melange,8,Dark Grey,4,Dark,12,Grey,5963,Tops Knitwear DS,D,Divided,2,Divided,58,Divided Selected,1003,Knitwear,"Cardigan in a bouclé knit made from a wool blend with a shawl collar, zip at one side and long sleeves."
218829015,218829,Paris glove.,71,Gloves,Accessories,1010016,Solid,17,Yellowish Brown,4,Dark,13,Brown,3519,Gloves/Hats,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Gloves in soft, supple leather. Lined."
228257001,228257,20 den 2p Tights,304,Underwear Tights,Socks & Tights,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Tights with an elasticated waist. 20 denier.
237347052,237347,Theron,308,Hoodie,Garment Upper body,1010016,Solid,31,Light Orange,1,Dusty Light,3,Orange,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem."
264713028,264713,Al Car Shoe,89,Other shoe,Shoes,1010016,Solid,17,Yellowish Brown,2,Medium Dusty,13,Brown,3630,Shoes / Boots inactive from s5,F,Menswear,3,Menswear,27,Men Shoes,1020,Shoes,"Loafers in imitation suede with moccasin seams, decorative laces, fabric linings and insoles and rubber soles."
265069012,265069,PELLE Basic S/S jersey polo SB,255,T-shirt,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,7668,Kids Boy Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,72,Boys Underwear & Basics,1002,Jersey Basic,Polo shirt in organic cotton jersey with a ribbed collar and button placket.
265071028,265071,KRISTOFF Basic jersey polo BB,255,T-shirt,Garment Upper body,1010016,Solid,91,Light Green,3,Light,19,Green,8768,Young Boy Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,72,Boys Underwear & Basics,1002,Jersey Basic,Short-sleeved polo shirt in organic cotton jersey with a ribbed collar and button placket.
275362021,275362,Jersey harem shorts,274,Shorts,Garment Lower body,1010016,Solid,13,Beige,1,Dusty Light,1,Mole,5882,Jersey Fancy,F,Menswear,3,Menswear,55,Contemporary Street,1005,Jersey Fancy,"Knee-length shorts in sweatshirt fabric with a low crotch, elasticated drawstring waist, side pockets, back pockets and ribbed hems."
277738002,277738,Basic overall,267,Jumpsuit/Playsuit,Garment Full body,1010010,Melange,7,Grey,1,Dusty Light,12,Grey,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,"All-in-one suit in organic cotton sweatshirt fabric with a jersey-lined hood, zip down the front, front pockets and ribbing at the cuffs and hems."
287645003,287645,Microtights 2pk SG,304,Underwear Tights,Socks & Tights,1010016,Solid,10,White,3,Light,9,White,7921,Kids Girl S&T,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1021,Socks and Tights,Thin tights with an elasticated waist.
288825017,288825,2-p Babsan tights BG,304,Underwear Tights,Socks & Tights,1010013,Other pattern,8,Dark Grey,4,Dark,12,Grey,7931,Young Girl S&T,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1021,Socks and Tights,Fine-knit tights with an elasticated waist.
288859017,288859,Kakan 2PACK tights BG,304,Underwear Tights,Socks & Tights,1010016,Solid,9,Black,4,Dark,5,Black,7931,Young Girl S&T,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1021,Socks and Tights,"Tights in a soft, cable-knit cotton blend with an elasticated waist."
290519008,290519,Basic co/fl cardigan,245,Cardigan,Garment Upper body,1010016,Solid,8,Dark Grey,4,Dark,12,Grey,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,"Cardigan in soft organic cotton sweatshirt fabric with a stand-up collar, press-studs down the front, and ribbing around the neckline, cuffs and hem. Soft brushed inside."
294008056,294008,HM+ Cora tee,255,T-shirt,Garment Upper body,1010016,Solid,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,1919,Jersey,A,Ladieswear,1,Ladieswear,2,H&M+,1005,Jersey Fancy,Gently flared top in soft viscose jersey with short sleeves and a rounded hem.
299733001,299733,Hilton,265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Strapless jersey dress with an elasticated waist. Inner top with elastication at the top.
300024009,300024,Superskinny,272,Trousers,Garment Lower body,1010023,Denim,73,Dark Blue,2,Medium Dusty,2,Blue,2031,Woven bottoms,A,Ladieswear,1,Ladieswear,8,Mama,1009,Trousers,"Jeans in washed stretch denim with fake front pockets, real back pockets and skinny legs. Wide ribbing at the waist for optimum comfort."
302334003,302334,Sebastian braided belt,67,Belt,Accessories,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,7389,Belts,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,Braided belt with imitation leather details and a metal buckle. Width 3.5 cm.
304766007,304766,Mohair 2p Heavy Socks,302,Socks,Socks & Tights,1010016,Solid,8,Dark Grey,4,Dark,12,Grey,3610,Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Socks in a soft rib knit containing some mohair.
305775003,305775,Lurex tights SG,304,Underwear Tights,Socks & Tights,1010016,Solid,42,Red,7,Medium,18,Red,7921,Kids Girl S&T,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1021,Socks and Tights,Tights in a fine knit containing glittery threads with an elasticated waist. Soft inside.
306847002,306847,Honey Leggings 2PACK - TVP,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,7930,Young Girl Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,Leggings in soft cotton jersey with an elasticated waist.
307239001,307239,Hilly Brief 2pk LT,286,Underwear bottom,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,3710,Functional Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Shaping briefs in microfibre with a high waist, laser-cut edges and lined gusset. The briefs have a light shaping effect on the waist, bum and hips."
308158016,308158,LS body girly with collar,256,Bodysuit,Garment Upper body,1010016,Solid,42,Red,7,Medium,18,Red,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,Long-sleeved bodysuit in soft organic cotton jersey with a rounded collar and press-studs at the back and crotch. Scalloped edges at the collar and cuffs.
309864013,309864,Skinny Cheapo 89,272,Trousers,Garment Lower body,1010023,Denim,6,Light Grey,1,Dusty Light,12,Grey,8956,Young Boy Denim,I,Children Sizes 134-170,4,Baby/Children,47,Young Boy,1016,Trousers Denim,"Slim-fit jeans in washed stretch denim with an adjustable elasticated waist (in sizes 8-12Y), zip fly and button, front and back pockets, and narrow hems."
315497017,315497,Otto Beanie,75,Hat/beanie,Accessories,1010016,Solid,23,Dark Yellow,4,Dark,8,Yellow,9985,Accessories,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,"Double-layered hat in a soft, fine knit."
315509036,315509,Wolf Scarf,80,Scarf,Accessories,1010016,Solid,93,Dark Green,4,Dark,19,Green,9985,Accessories,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,Scarf in a soft weave with fringes on the short sides. Size 50x180 cm.
316553026,316553,Washington dress,265,Dress,Garment Full body,1010017,Stripe,10,White,3,Light,9,White,1344,Dresses,D,Divided,2,Divided,53,Divided Collection,1013,Dresses Ladies,"Short jersey dress with narrow shoulder straps, a seam at the waist and bell-shaped skirt."
316657010,316657,Karenina Jacket,262,Jacket,Garment Upper body,1010016,Solid,19,Greenish Khaki,4,Dark,20,Khaki green,5960,Outdoor/Blazers DS,D,Divided,2,Divided,58,Divided Selected,1007,Outdoor,"Biker jacket in imitation leather with a diagonal zip at the front, side pockets and ribbed jersey sections under the arms. Lined."
324375010,324375,MARY KATE EARMUFFS,78,Other accessories,Accessories,1010016,Solid,51,Light Pink,1,Dusty Light,4,Pink,3945,Knit & Woven,D,Divided,2,Divided,52,Divided Accessories,1019,Accessories,Earmuffs in faux fur and imitation suede. Adjustable size.
325087045,325087,Kelly (Melbourne) PUSH 2p,306,Bra,Underwear,1010016,Solid,43,Dark Red,7,Medium,18,Red,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Push-up bras in cotton jersey with lace details and underwired, moulded, padded cups for a larger bust and fuller cleavage. Adjustable shoulder straps and a hook-and-eye fastening at the back."
326885051,326885,TP MAX jersey pants SB,272,Trousers,Garment Lower body,1010016,Solid,17,Yellowish Brown,2,Medium Dusty,13,Brown,7668,Kids Boy Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,72,Boys Underwear & Basics,1002,Jersey Basic,"Joggers in lightweight jersey made from a cotton blend with a ribbed, elasticated waistband, pockets in the side seams and ribbed hems. The cotton content of the joggers is organic."
327821030,327821,MALAGA 2-P,273,Leggings/Tights,Garment Lower body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,7920,Kids Girl Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,Leggings in soft organic cotton jersey with an elasticated waist.
331474033,331474,JOEL fancy sweatpant SB,272,Trousers,Garment Lower body,1010001,All over pattern,7,Grey,1,Dusty Light,12,Grey,7668,Kids Boy Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,72,Boys Underwear & Basics,1002,Jersey Basic,"Joggers in sweatshirt fabric with elasticated ribbing at the waist, pockets in the side seams and ribbed hems."
337991005,337991,NEW Sigge dressed belt,67,Belt,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,7389,Belts,F,Menswear,3,Menswear,25,Men Accessories,1019,Accessories,Leather belt with a metal buckle. Width 3 cm.
338400004,338400,Hilly Thong 2pk,286,Underwear bottom,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,3710,Functional Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","High-waisted briefs in microfibre with a laser-cut edges, a lined gusset and string back. The briefs have a light sculpting effect on the tummy, waist and hips."
342034027,342034,Indiana Solid Scarf,80,Scarf,Accessories,1010016,Solid,71,Light Blue,1,Dusty Light,2,Blue,3409,Scarves,C,Ladies Accessories,1,Ladieswear,65,Womens Big accessories,1019,Accessories,"Scarf in a soft, loose weave with fringes on the short sides. Size 100x200 cm."
343973011,343973,Sara 2-p legging w lace,273,Leggings/Tights,Garment Lower body,1010016,Solid,51,Light Pink,3,Light,4,Pink,7921,Kids Girl S&T,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1021,Socks and Tights,Microfibre leggings with an elasticated waist and lace trims at the hems.
348330045,348330,2PACK Tanktop body Mixed,256,Bodysuit,Garment Upper body,1010001,All over pattern,10,White,3,Light,9,White,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
351484039,351484,Lazer Razer Brief,59,Swimwear bottom,Swimwear,1010016,Solid,71,Light Blue,3,Light,2,Blue,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini bottoms with a mid waist, medium coverage at the back and laser-cut, scalloped edges."
352811039,352811,Sara long (1),272,Trousers,Garment Lower body,1010016,Solid,51,Light Pink,1,Dusty Light,4,Pink,1939,Woven bottoms,A,Ladieswear,1,Ladieswear,2,H&M+,1009,Trousers,5-pocket trousers in stretch twill with a regular waist and slim legs.
354246021,354246,Basic LS Raglan t-shirt,255,T-shirt,Garment Upper body,1010005,Colour blocking,73,Dark Blue,4,Dark,2,Blue,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,T-shirt in organic cotton jersey with long raglan sleeves in a contrasting colour and press-studs at the back of the neck.
360859006,360859,Chelsea welldressed blazer,264,Blazer,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,8757,Young Boy Shirt,I,Children Sizes 134-170,4,Baby/Children,47,Young Boy,1011,Shirts,Classic jacket in woven fabric containing some wool with a chest pocket and flap front pockets. Decorative buttons at the cuffs and a single back vent. Lined.
361467024,361467,Claire S/S,254,Top,Garment Upper body,1010001,All over pattern,7,Grey,1,Dusty Light,12,Grey,1919,Jersey,A,Ladieswear,1,Ladieswear,2,H&M+,1005,Jersey Fancy,Top in soft jersey with short raglan sleeves with sewn-in turn-ups.
362931025,362931,WAFFLE L/S CTN basic,254,Top,Garment Upper body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,5883,Jersey Basic,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,Long-sleeved T-shirt in waffled cotton jersey with ribbed cuffs.
364297018,364297,SWEATPANTS OC,272,Trousers,Garment Lower body,1010012,Mixed solid/pattern,9,Black,4,Dark,5,Black,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,Trousers in sweatshirt fabric made from organic cotton with an elasticated drawstring waist and ribbed hems. Soft brushed inside.
368300011,368300,ROCK SHORTS,274,Shorts,Garment Lower body,1010016,Solid,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,5687,Shorts,F,Menswear,3,Menswear,20,Contemporary Smart,1025,Shorts,"Shorts in soft, washed cotton twill with an elasticated drawstring waist, fake fly, side pockets and a welt back pocket."
372860068,372860,Basic 7p Shaftless,302,Socks,Socks & Tights,1010010,Melange,52,Pink,1,Dusty Light,4,Pink,3611,Shopbasket Socks,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Fine-knit trainer socks in a soft cotton blend.
